tweet_id,favorites,retweets,date_time
741099773336379392,9662,5312,2016-06-10 02:48:49+00:00
741067306818797568,9232,2973,2016-06-10 00:39:48+00:00
740995100998766593,6145,2612,2016-06-09 19:52:53+00:00
740711788199743490,3303,906,2016-06-09 01:07:06+00:00
740699697422163968,2761,747,2016-06-09 00:19:04+00:00
740676976021798912,17567,6578,2016-06-08 22:48:46+00:00
740373189193256964,33836,12845,2016-06-08 02:41:38+00:00
740365076218183684,2374,416,2016-06-08 02:09:24+00:00
740359016048689152,3190,829,2016-06-08 01:45:19+00:00
740214038584557568,6466,1895,2016-06-07 16:09:13+00:00
739979191639244800,19309,5694,2016-06-07 00:36:02+00:00
739932936087216128,3921,1040,2016-06-06 21:32:13+00:00
739844404073074688,3682,829,2016-06-06 15:40:26+00:00
739623569819336705,3638,1309,2016-06-06 01:02:55+00:00
739606147276148736,5227,1592,2016-06-05 23:53:41+00:00
739544079319588864,38146,20380,2016-06-05 19:47:03+00:00
739485634323156992,6916,2811,2016-06-05 15:54:48+00:00
739238157791694849,111839,55800,2016-06-04 23:31:25+00:00
738891149612572673,102,6,2016-06-04 00:32:32+00:00
738885046782832640,3651,1102,2016-06-04 00:08:17+00:00
738883359779196928,3204,759,2016-06-04 00:01:35+00:00
738537504001953792,4914,1475,2016-06-03 01:07:16+00:00
738402415918125056,3159,791,2016-06-02 16:10:29+00:00
738184450748633089,4187,1170,2016-06-02 01:44:22+00:00
738166403467907072,8470,3208,2016-06-02 00:32:39+00:00
738156290900254721,2414,618,2016-06-01 23:52:28+00:00
737826014890496000,5095,1700,2016-06-01 02:00:04+00:00
737800304142471168,9675,3330,2016-06-01 00:17:54+00:00
737678689543020544,4866,1262,2016-05-31 16:14:39+00:00
737445876994609152,9894,4272,2016-05-31 00:49:32+00:00
737322739594330112,3478,775,2016-05-30 16:40:14+00:00
737310737551491075,14141,7133,2016-05-30 15:52:33+00:00
736736130620620800,4099,1656,2016-05-29 01:49:16+00:00
736392552031657984,17078,7067,2016-05-28 03:04:00+00:00
736365877722001409,3849,1188,2016-05-28 01:18:00+00:00
736225175608430592,7819,2677,2016-05-27 15:58:54+00:00
736010884653420544,7608,2859,2016-05-27 01:47:23+00:00
735991953473572864,3465,1102,2016-05-27 00:32:10+00:00
735648611367784448,3908,1059,2016-05-26 01:47:51+00:00
735635087207878657,5953,2253,2016-05-26 00:54:06+00:00
735274964362878976,12589,4820,2016-05-25 01:03:06+00:00
735256018284875776,3214,846,2016-05-24 23:47:49+00:00
735137028879360001,3027,937,2016-05-24 15:55:00+00:00
734912297295085568,2658,510,2016-05-24 01:02:00+00:00
734787690684657664,12106,6056,2016-05-23 16:46:51+00:00
734776360183431168,2423,512,2016-05-23 16:01:50+00:00
734559631394082816,1443,381,2016-05-23 01:40:38+00:00
733828123016450049,3453,751,2016-05-21 01:13:53+00:00
733822306246479872,3549,983,2016-05-21 00:50:46+00:00
733482008106668032,3011,908,2016-05-20 02:18:32+00:00
733460102733135873,4031,1221,2016-05-20 00:51:30+00:00
733109485275860992,51557,16425,2016-05-19 01:38:16+00:00
732732193018155009,2349,514,2016-05-18 00:39:02+00:00
